Date,MT Close,WSJ Close,Open,High,Low,Yahoo Close,Volume,Close
1938-01-31,121.87,,,,,,,121.87
1938-02-01,123.97,,,,,,,123.97
1938-02-02,123.06,,,,,,,123.06
1938-02-03,118.49,,,,,,,118.49
1938-02-04,120.52,,,,,,,120.52
1938-02-05,122.88,,,,,,,122.88
1938-02-07,121.39,,,,,,,121.39
1938-02-08,125.52,,,,,,,125.52
1938-02-09,125.0,,,,,,,125.0
1938-02-10,125.54,,,,,,,125.54
1938-02-11,124.94,,,,,,,124.94
1938-02-14,125.97,,,,,,,125.97
1938-02-15,124.93,,,,,,,124.93
1938-02-16,124.9,,,,,,,124.9
1938-02-17,127.59,,,,,,,127.59
1938-02-18,126.29,,,,,,,126.29
1938-02-19,127.5,,,,,,,127.5
1938-02-21,129.49,,,,,,,129.49
1938-02-23,132.41,,,,,,,132.41
1938-02-24,130.85,,,,,,,130.85
1938-02-25,131.58,,,,,,,131.58
1938-02-26,131.26,,,,,,,131.26
1938-02-28,129.64,,,,,,,129.64
1938-03-01,130.47,,,,,,,130.47
1938-03-02,129.38,,,,,,,129.38
1938-03-03,128.22,,,,,,,128.22
1938-03-04,127.78,,,,,,,127.78
1938-03-05,127.67,,,,,,,127.67
1938-03-07,125.38,,,,,,,125.38
1938-03-08,125.33,,,,,,,125.33
1938-03-09,125.67,,,,,,,125.67
1938-03-10,124.71,,,,,,,124.71
1938-03-11,122.44,,,,,,,122.44
1938-03-12,122.58,,,,,,,122.58
1938-03-14,123.68,,,,,,,123.68
1938-03-15,127.24,,,,,,,127.24
1938-03-16,122.87,,,,,,,122.87
1938-03-17,122.03,,,,,,,122.03
1938-03-18,118.41,,,,,,,118.41
1938-03-19,120.43,,,,,,,120.43
1938-03-21,120.29,,,,,,,120.29
1938-03-22,117.11,,,,,,,117.11
1938-03-23,114.38,,,,,,,114.38
1938-03-24,114.64,,,,,,,114.64
1938-03-25,108.57,,,,,,,108.57
1938-03-26,106.63,,,,,,,106.63
1938-03-28,107.25,,,,,,,107.25
1938-03-29,101.92,,,,,,,101.92
1938-03-30,100.97,,,,,,,100.97
1938-03-31,98.95,,,,,,,98.95
1938-04-01,103.02,,,,,,,103.02
1938-04-02,106.11,,,,,,,106.11
1938-04-04,105.58,,,,,,,105.58
1938-04-05,108.36,,,,,,,108.36
1938-04-06,106.29,,,,,,,106.29
1938-04-07,105.43,,,,,,,105.43
1938-04-08,109.57,,,,,,,109.57
1938-04-09,115.32,,,,,,,115.32
1938-04-11,112.93,,,,,,,112.93
1938-04-12,113.88,,,,,,,113.88
1938-04-13,114.85,,,,,,,114.85
1938-04-14,116.82,,,,,,,116.82
1938-04-16,121.0,,,,,,,121.0
1938-04-18,118.99,,,,,,,118.99
1938-04-19,116.34,,,,,,,116.34
1938-04-20,114.9,,,,,,,114.9
1938-04-21,115.4,,,,,,,115.4
1938-04-22,118.52,,,,,,,118.52
1938-04-23,117.64,,,,,,,117.64
1938-04-25,116.23,,,,,,,116.23
1938-04-26,113.94,,,,,,,113.94
1938-04-27,115.25,,,,,,,115.25
1938-04-28,111.98,,,,,,,111.98
1938-04-29,111.66,,,,,,,111.66
1938-04-30,111.28,,,,,,,111.28
1938-05-02,110.09,,,,,,,110.09
1938-05-03,112.71,,,,,,,112.71
1938-05-04,113.88,,,,,,,113.88
1938-05-05,113.46,,,,,,,113.46
1938-05-06,117.16,,,,,,,117.16
1938-05-07,117.21,,,,,,,117.21
1938-05-09,119.43,,,,,,,119.43
1938-05-10,117.93,,,,,,,117.93
1938-05-11,118.52,,,,,,,118.52
1938-05-12,118.55,,,,,,,118.55
1938-05-13,116.87,,,,,,,116.87
1938-05-14,117.21,,,,,,,117.21
1938-05-16,115.38,,,,,,,115.38
1938-05-17,116.36,,,,,,,116.36
1938-05-18,117.02,,,,,,,117.02
1938-05-19,115.28,,,,,,,115.28
1938-05-20,114.99,,,,,,,114.99
1938-05-21,113.25,,,,,,,113.25
1938-05-23,113.97,,,,,,,113.97
1938-05-24,112.35,,,,,,,112.35
1938-05-25,110.6,,,,,,,110.6
1938-05-26,108.28,,,,,,,108.28
1938-05-27,107.98,,,,,,,107.98
1938-05-28,108.9,,,,,,,108.9
1938-05-31,107.74,,,,,,,107.74
1938-06-01,110.61,,,,,,,110.61
